

   Tabela 4.3.13 - Produtos Sujeitos à Alíquota Zero da Contribuição Social
   (CST 06) - Versão 1.35 - Atualizada em 26/06/2026.

|Códig|Descrição do Produto                                   |NCM          |Início de  |Término de   |
|o    |                                                       |             |Escrituraçã|Escrituração |
|     |                                                       |             |o          |Mês/Ano      |
|     |classificadas no código 8471.50.10 da Tabela de        |             |           |             |
|     |Incidência do IPI - TIPI, desde que o preço de venda de|             |           |             |
|     |cada unidade não exceda a R$ 2.000,00, produzidas no   |             |           |             |
|     |País conforme processo produtivo básico estabelecido   |             |           |             |
|     |pelo Poder Executivo.                                  |             |           |             |
|402  |Venda a varejo de máquinas automáticas para            |-            |01/2011    |17/09/2012   |
|     |processamento de dados, digitais, portáteis, de peso   |             |           |             |
|     |inferior a 3,5Kg (três quilos e meio), com tela (écran)|             |           |             |
|     |de área superior a 140cm2 (cento e quarenta centímetros|             |           |             |
|     |quadrados), classificadas nos códigos 8471.30.12,      |             |           |             |
|     |8471.30.19 ou 8471.30.90 da TIPI, desde que o preço de |             |           |             |
|     |venda de cada máquina não exceda a R$ 4.000,00         |             |           |             |
|402  |Venda a varejo de máquinas automáticas para            |             |18/09/2012 |30/11/2015   |
|     |processamento de dados, digitais, portáteis, de peso   |             |           |             |
|     |inferior a 3,5Kg (três quilos e meio), com tela (écran)|             |           |             |
|     |de área superior a 140cm² (cento e quarenta centímetros|             |           |             |
|     |quadrados), classificadas nos códigos 8471.30.12,      |             |           |             |
|     |8471.30.19 ou 8471.30.90 da Tipi, desde que o preço de |             |           |             |
|     |venda de cada máquina não exceda a R$ 4.000,00,        |             |           |             |
|     |produzidas no País conforme processo produtivo básico  |             |           |             |
|     |estabelecido pelo Poder Executivo.                     |             |           |             |
|403  |Venda a varejo de máquinas automáticas de processamento|-            |01/2011    |17/09/2012   |
|     |de dados, apresentadas sob a forma de sistemas, do     |             |           |             |
|     |código 8471.49 da TIPI, contendo exclusivamente 1 (uma)|             |           |             |
|     |unidade de processamento digital, 1 (uma) unidade de   |             |           |             |
