

4.3.16 - Tabela Operações com Suspensão da Contribuição Social (CST 09) -
Atualizada em 28/04/2026:

|Código |Descrição do Produto                              |NCM              |Início de |Término de|
|       |                                                  |                 |Escrituraç|Escrituraç|
|       |                                                  |                 |ão        |ão        |
|       |                                                  |                 |Mês/Ano   |Mês/Ano   |
|       |8701 A 8705 da NCM                                |                 |          |          |
|       |Importação de insumos (chassis, carroçarias,      |                 |          |          |
|       |peças, partes, componentes e acessórios), sem     |                 |          |          |
|       |cobertura cambial, destinados a industrialização  |                 |          |          |
|       |por encomenda de produtos classificados nas       |                 |          |          |
|       |posições 8701 a 8705 da NCM                       |                 |          |          |
|314    |RECINE - Regime Especial de Tributação para       |                 |26/03/2012|          |
|       |Desenvolvimento da Atividade de Exibição          |                 |          |          |
|       |Cinematográfica.                                  |                 |          |          |
|       |Venda no mercado interno ou importação de         |                 |          |          |
|       |máquinas, aparelhos, instrumentos e equipamentos, |                 |          |          |
|       |novos, para incorporação no ativo imobilizado e   |                 |          |          |
|       |utilização em complexos de exibição ou cinemas    |                 |          |          |
|       |itinerantes, bem como de materiais para sua       |                 |          |          |
|       |construção                                        |                 |          |          |
|315    |PROUCA - Programa Um Computador por Aluno.        |                 |11/06/2012|31/12/2015|
|       |REICOMP - Regime Especial de Incentivo a          |                 |          |          |
|       |Computadores para Uso Educacional.                |                 |          |          |
|       |Receita decorrente da:                            |                 |          |          |
|       |a) venda de matérias-primas e produtos            |                 |          |          |
|       |intermediários destinados à industrialização dos  |                 |          |          |
|       |equipamentos mencionados no art. 16 da MP         |                 |          |          |
|       |(computadores portáteis classificados nos códigos |                 |          |          |
|       |8471.30.12 e 8471.30.19 da NCM), quando adquiridos|                 |          |          |
|       |por pessoa jurídica habilitada ao regime; ou      |                 |          |          |
|       |b) prestação de serviços por pessoa jurídica      |                 |          |          |
|       |estabelecida no País a pessoa jurídica habilitada |                 |          |          |
|       |ao regime, quando destinados aos equipamentos     |                 |          |          |
|       |mencionados no art. 16 da MP                      |                 |          |          |
|316    |REPNBL-Redes - Regime Especial de Tributação do   |                 |04/04/2012|31/12/2016|
|       |Programa Nacional de Banda Larga para Implantação |                 |          |          |
|       |de Redes de Telecomunicações.                     |                 |          |          |
